time,2012 Denmark_HH80_SP400
23/01/2012 04.00,0.022
23/01/2012 05.00,0.0237
23/01/2012 06.00,0.0191
23/01/2012 07.00,0.0239
23/01/2012 08.00,0.0189
23/01/2012 09.00,0.0153
23/01/2012 10.00,0.0204
23/01/2012 11.00,0.01
23/01/2012 12.00,0.0001
23/01/2012 13.00,0
23/01/2012 14.00,0
23/01/2012 15.00,0
23/01/2012 16.00,0
23/01/2012 17.00,0
23/01/2012 18.00,0
23/01/2012 19.00,0.0001
23/01/2012 20.00,0.0017
23/01/2012 21.00,0.001
23/01/2012 22.00,0.0028
23/01/2012 23.00,0.0002
24/01/2012 00.00,0.0148
24/01/2012 01.00,0.0148
24/01/2012 02.00,0.0263
24/01/2012 03.00,0.0237
24/01/2012 04.00,0.0349
24/01/2012 05.00,0.0491
24/01/2012 06.00,0.0416
24/01/2012 07.00,0.053
24/01/2012 08.00,0.0574
24/01/2012 09.00,0.0438
24/01/2012 10.00,0.0324
24/01/2012 11.00,0.0183
24/01/2012 12.00,0.0092
24/01/2012 13.00,0.0148
24/01/2012 14.00,0.0349
24/01/2012 15.00,0.047
24/01/2012 16.00,0.0519
24/01/2012 17.00,0.0688
24/01/2012 18.00,0.0958
24/01/2012 19.00,0.0984
24/01/2012 20.00,0.0809
24/01/2012 21.00,0.0569
24/01/2012 22.00,0.0488
24/01/2012 23.00,0.0429
25/01/2012 00.00,0
25/01/2012 01.00,0.0002
25/01/2012 02.00,0.0073
25/01/2012 03.00,0.0232
25/01/2012 04.00,0.037
25/01/2012 05.00,0.046
25/01/2012 06.00,0.0348
25/01/2012 07.00,0.0088
25/01/2012 08.00,0.0144
25/01/2012 09.00,0.0216
25/01/2012 10.00,0.0199
25/01/2012 11.00,0.0243
25/01/2012 12.00,0.0065
25/01/2012 13.00,0.0052
25/01/2012 14.00,0.0114
25/01/2012 15.00,0.0157
25/01/2012 16.00,0.0354
25/01/2012 17.00,0.0792
25/01/2012 18.00,0.127
25/01/2012 19.00,0.1176
25/01/2012 20.00,0.1206
25/01/2012 21.00,0.1315
25/01/2012 22.00,0.1841
25/01/2012 23.00,0.176
26/01/2012 00.00,0.6098
26/01/2012 01.00,0.6541
26/01/2012 02.00,0.6305
26/01/2012 03.00,0.6273
26/01/2012 04.00,0.5234
26/01/2012 05.00,0.568
26/01/2012 06.00,0.6219
26/01/2012 07.00,0.5959
26/01/2012 08.00,0.5028
26/01/2012 09.00,0.4668
26/01/2012 10.00,0.3981
26/01/2012 11.00,0.4142
26/01/2012 12.00,0.4181
26/01/2012 13.00,0.5068
26/01/2012 14.00,0.5326
26/01/2012 15.00,0.641
26/01/2012 16.00,0.7468
26/01/2012 17.00,0.7785
26/01/2012 18.00,0.8669
26/01/2012 19.00,0.9115
26/01/2012 20.00,0.921
26/01/2012 21.00,0.928
26/01/2012 22.00,0.9366
26/01/2012 23.00,0.9429
27/01/2012 00.00,0.597
27/01/2012 01.00,0.5827
27/01/2012 02.00,0.5849
27/01/2012 03.00,0.5479
27/01/2012 04.00,0.4949
27/01/2012 05.00,0.3802
27/01/2012 06.00,0.3761
27/01/2012 07.00,0.3485
27/01/2012 08.00,0.3457
27/01/2012 09.00,0.409
27/01/2012 10.00,0.4567
27/01/2012 11.00,0.3564
27/01/2012 12.00,0.2819
27/01/2012 13.00,0.2234
27/01/2012 14.00,0.1662
27/01/2012 15.00,0.1455
27/01/2012 16.00,0.1324
27/01/2012 17.00,0.1627
27/01/2012 18.00,0.1538
27/01/2012 19.00,0.1354
27/01/2012 20.00,0.163
27/01/2012 21.00,0.1463
27/01/2012 22.00,0.1362
27/01/2012 23.00,0.1302
28/01/2012 00.00,0.3785
28/01/2012 01.00,0.3896
28/01/2012 02.00,0.4838
28/01/2012 03.00,0.4992
28/01/2012 04.00,0.4702
28/01/2012 05.00,0.4495
28/01/2012 06.00,0.4017
28/01/2012 07.00,0.3544
28/01/2012 08.00,0.3237
28/01/2012 09.00,0.3502
28/01/2012 10.00,0.3948
28/01/2012 11.00,0.4034
28/01/2012 12.00,0.3439
28/01/2012 13.00,0.3017
28/01/2012 14.00,0.2699
28/01/2012 15.00,0.312
28/01/2012 16.00,0.3309
28/01/2012 17.00,0.2636
