Timestep,2025 - base case,2030 - base case,2035 - base case,2040 - base case,2050 - base case,2025 - re delay,2030 - re delay,2035 - re delay,2040 - re delay,2050 -re delay,2025 - ptx delay,2030 - ptx delays,2035 - ptx delay,2040 - ptx delay,2050 - ptx delay
S24-T087,4.197219726,3.097367407,3.071005846,2.946342009,2.263968928,9.515812275,3.491359635,3.097367407,3.07426734,2.815151919,4.192870888,3.071005846,2.946342009,2.930705468,2.17205333
S24-T088,4.18849079,3.097367407,3.071005846,2.946342009,2.261517732,9.515812275,3.491359635,3.094082813,3.07426734,2.815151919,4.18849079,3.071005846,2.94320844,2.930705468,2.17205333
S24-T089,4.197219726,3.230291088,3.071005846,3.061240919,2.266422578,9.775096771,4.92731222,3.097367407,3.077532099,2.815151919,4.197219726,3.07426734,2.946342009,2.94320844,2.221034809
S24-T090,6.942598299,3.245889901,3.077532099,3.07426734,2.815151919,23.39097262,15.37067719,3.242456784,3.084071425,3.077532099,5.853653606,3.077532099,3.071005846,3.071005846,2.706451559
S24-T091,9.795051345,9.738083497,5.805102322,4.192835279,3.242456784,92.34343349,101.1070483,71.07348473,72.02274243,48.72139433,9.785069067,3.245889901,3.245889901,3.242456784,3.087345998
S24-T092,12.80864934,9.775096771,12.82262528,36.82294782,47.13388862,106.190094,104.6423068,104.7567945,96.49357974,108.2706235,11.54597525,4.188455217,3.256209884,8.69920252,3.48400614
S24-T093,13.31757813,9.805043616,51.80806452,39.7033055,49.03730575,106.2965778,104.6423068,104.7567945,99.711854,108.487865,11.54597525,4.192835279,4.874183169,17.89876631,10.87041917
S24-T094,13.31757813,10.24941041,62.59543355,39.7033055,49.03730575,106.2965778,104.6423068,104.8618436,99.711854,108.487865,12.11317966,4.525257103,5.428042476,18.13277935,10.87041917
S24-T095,14.04674316,10.68847822,62.65827906,39.7033055,49.03730575,106.2965778,104.6423068,104.8652397,99.711854,108.4878804,13.49991279,4.525257103,6.182081835,20.02907408,12.26011319
S24-T096,13.31757813,9.805043616,62.59543355,39.7033055,49.03730575,106.2965778,104.6423068,104.8652397,99.711854,108.487865,11.9193616,4.197219726,5.853653606,20.02907408,12.24766585
S24-T097,11.67128798,9.649268361,60.32325103,39.7033055,49.03730575,106.2965778,104.6423068,104.8618436,99.711854,108.487865,10.57475532,4.188455217,5.068031683,18.05960917,10.87041917
S24-T098,9.795051345,9.609981359,51.80806452,39.66341497,49.03730575,98.61689021,104.6423068,104.7567945,99.61195492,108.487865,9.795051345,3.274723046,4.197219726,17.93499263,10.87041917
S24-T099,9.795051345,9.609981359,51.75606923,39.66341497,49.03730575,97.58215289,104.6423068,104.7567945,99.51215574,108.487865,9.795051345,3.274686108,4.197219726,18.05960917,12.24766585
S24-T100,9.795051345,10.15338689,51.75606923,39.66341497,49.03730575,97.58215289,104.6423068,102.6500958,99.51215574,108.3792053,9.795051345,3.271224195,4.188455217,17.95313299,12.24766585
S24-T101,9.795051345,9.629605206,49.9624945,39.66341497,49.03730575,97.58215289,104.6423068,102.6500958,99.51215574,108.3791899,9.795051345,3.260896003,3.48400614,16.45973779,12.24766585
S24-T102,9.795051345,10.65588372,51.86011186,39.66341497,49.03730575,97.58215289,104.6423068,104.7567945,99.51215574,108.3792053,9.795051345,3.274686108,4.192835279,18.07787428,12.24766585
S24-T103,20.55315271,66.5455893,62.59543355,39.66341497,49.03730575,106.2965778,104.6423068,104.7601872,99.711854,108.487865,18.8090705,4.192835279,5.323196697,19.98866169,10.89256768
S24-T104,68.41457319,45.53371503,64.54736014,39.66341497,49.03730575,123.4023837,104.6423068,104.7601872,99.711854,108.487865,61.10604278,4.192835279,6.996101701,20.02907408,12.2228085
S24-T105,22.68823183,41.82917798,62.59543355,39.7033055,48.98808121,117.3974459,104.6423068,104.7601872,99.711854,108.487865,20.4448309,4.188455217,6.996101701,20.04931061,12.24766585
S24-T106,15.67054757,9.649268361,40.82085681,39.58375354,47.32869231,117.3974459,104.4327525,101.536964,89.94124578,108.1087273,13.52732819,3.264347578,4.192835279,14.86272255,3.51987162
S24-T107,12.78480079,5.853653606,4.201608562,4.197219726,3.090623848,106.2965778,104.4327525,21.48121949,27.22608391,58.09338986,12.15609934,3.242456784,3.084071425,3.2390271,3.071005846
S24-T108,9.805786865,4.192870888,3.235600846,3.077532099,2.278727716,106.2965778,100.6526037,4.197219726,3.245889901,3.07426734,9.782661975,3.080800126,3.064492638,3.071005846,2.266422578
S24-T109,7.91759013,3.087345998,2.95261856,2.94320844,2.278727716,106.190094,12.30750187,3.084071425,3.07426734,2.9369507,5.885035024,2.891524871,2.759657145,2.940078005,2.263968928
