Forecast,Realised,OnshoreWindLt50kW_MWh,OnshoreWindGe50kW_MWh
2308,2775.721461,15.326504,2760.394957
2190.625,2755.536171,13.473994,2742.062177
2024.416626,2713.517507,11.864458,2701.653049
2044.541626,2615.194317,12.571613,2602.622704
2112.625,2467.167983,12.382208,2454.785775
1985.958374,2355.050902,11.826255,2343.224647
2044.416626,2304.435502,10.967287,2293.468215
2150.583252,2577.874137,14.431915,2563.442222
2313.125,2812.974105,20.968142,2792.005963
2381.166748,2908.515913,20.712457,2887.803456
2361.541748,2901.593429,22.647584,2878.945845
2481.458252,2875.908972,22.101976,2853.806996
2392.458252,2835.621752,22.441771,2813.179981
2231.708252,2722.218221,22.114413,2700.103808
2136.458252,2487.103966,19.800571,2467.303395
2052.791748,2245.264447,15.218922,2230.045525
1858.583374,2200.729268,11.746256,2188.983012
1465.166626,1933.410738,12.043756,1921.366982
1154.25,1663.849798,9.72037,1654.129428
1154.5,1380.605121,7.012006,1373.593115
1154.25,1276.732871,5.591175,1271.141696
1099.25,1166.08769,6.234622,1159.853068
1215.083374,1199.940876,5.655923,1194.284953
1286.416626,1354.854884,6.211944,1348.64294
1465.458374,1619.802636,8.465744,1611.336892
1774.166626,1946.308782,11.740516,1934.568266
2092.291748,2328.857364,15.101222,2313.756142
2352.166748,2665.816064,18.197887,2647.618177
2498.208252,2927.463083,19.916691,2907.546392
2327.625,3067.386224,22.041928,3045.344296
2298.5,2917.795878,20.220974,2897.574904
2289.208252,2712.092487,18.325001,2693.767486
2407.791748,2734.905081,18.918059,2715.987022
2477.375,2562.119555,20.036795,2542.08276
2495.166748,2675.365029,20.386534,2654.978495
2548.375,2592.185088,19.308456,2572.876632
2547.416748,2583.847484,18.04671,2565.800774
2548.958252,2720.161092,19.218121,2700.942971
2593.416748,2908.998386,18.961576,2890.03681
2647.125,3025.763822,22.659035,3003.104787
2683.666748,3081.156878,23.242553,3057.914325
2459.208252,3230.960218,25.420176,3205.540042
2238.75,3329.004791,26.061017,3302.943774
2547.958252,3373.438045,24.862292,3348.575753
2703.333252,3437.07944,28.452677,3408.626763
2624.75,3494.088918,27.227774,3466.861144
2697.333252,3556.165109,27.739415,3528.425694
2578.458252,3494.232161,27.947058,3466.285103
2488.833252,3344.380315,28.540601,3315.839714
2375.916748,3261.52345,24.770863,3236.752587
2302.583252,3074.071231,19.654899,3054.416332
2367,3112.70184,18.216631,3094.485209
