MTU (CET/CEST),2023,2022,2021
13.01.2023 02:00 - 13.01.2023 03:00,0.542351454,0.591820988,0.561610738
13.01.2023 03:00 - 13.01.2023 04:00,0.548166877,0.610339506,0.521610738
13.01.2023 04:00 - 13.01.2023 05:00,0.562073325,0.623971193,0.497449664
13.01.2023 05:00 - 13.01.2023 06:00,0.574209861,0.622942387,0.455302013
13.01.2023 06:00 - 13.01.2023 07:00,0.53147914,0.625771605,0.462550336
13.01.2023 07:00 - 13.01.2023 08:00,0.492793932,0.632458848,0.464697987
13.01.2023 08:00 - 13.01.2023 09:00,0.573198483,0.635802469,0.435704698
13.01.2023 09:00 - 13.01.2023 10:00,0.631858407,0.620884774,0.430604027
13.01.2023 10:00 - 13.01.2023 11:00,0.628571429,0.599537037,0.433288591
13.01.2023 11:00 - 13.01.2023 12:00,0.651327434,0.617798354,0.462013423
13.01.2023 12:00 - 13.01.2023 13:00,0.616182048,0.637602881,0.476241611
13.01.2023 13:00 - 13.01.2023 14:00,0.583565107,0.616512346,0.517852349
13.01.2023 14:00 - 13.01.2023 15:00,0.553982301,0.6093107,0.55704698
13.01.2023 15:00 - 13.01.2023 16:00,0.511757269,0.608539095,0.579328859
13.01.2023 16:00 - 13.01.2023 17:00,0.517067004,0.597222222,0.638657718
13.01.2023 17:00 - 13.01.2023 18:00,0.53426043,0.598251029,0.616912752
13.01.2023 18:00 - 13.01.2023 19:00,0.502149178,0.625514403,0.566979866
13.01.2023 19:00 - 13.01.2023 20:00,0.516814159,0.624485597,0.55704698
13.01.2023 20:00 - 13.01.2023 21:00,0.543868521,0.630915638,0.507114094
13.01.2023 21:00 - 13.01.2023 22:00,0.58482933,0.658179012,0.474362416
13.01.2023 22:00 - 13.01.2023 23:00,0.602022756,0.680555556,0.469798658
13.01.2023 23:00 - 14.01.2023 00:00,0.59721871,0.675411523,0.45557047
14.01.2023 00:00 - 14.01.2023 01:00,0.627307206,0.688528807,0.483221477
14.01.2023 01:00 - 14.01.2023 02:00,0.604804046,0.679783951,0.468187919
14.01.2023 02:00 - 14.01.2023 03:00,0.564348925,0.68441358,0.426577181
14.01.2023 03:00 - 14.01.2023 04:00,0.540075853,0.697788066,0.38738255
14.01.2023 04:00 - 14.01.2023 05:00,0.51908976,0.714248971,0.349530201
14.01.2023 05:00 - 14.01.2023 06:00,0.470037927,0.714506173,0.303624161
14.01.2023 06:00 - 14.01.2023 07:00,0.370417193,0.718621399,0.290201342
14.01.2023 07:00 - 14.01.2023 08:00,0.291782554,0.737397119,0.256644295
14.01.2023 08:00 - 14.01.2023 09:00,0.292035398,0.748971193,0.209127517
14.01.2023 09:00 - 14.01.2023 10:00,0.291782554,0.675154321,0.187651007
14.01.2023 10:00 - 14.01.2023 11:00,0.277876106,0.580504115,0.171275168
14.01.2023 11:00 - 14.01.2023 12:00,0.307206068,0.529578189,0.161610738
14.01.2023 12:00 - 14.01.2023 13:00,0.325158028,0.497427984,0.142013423
14.01.2023 13:00 - 14.01.2023 14:00,0.370417193,0.433641975,0.130738255
