P_SM_t_opt_beta0,P_PPA_t_opt_beta0
39.98486,3.78
41.077279999999995,3.78
19.7505,3.78
36.77942,3.78
20.294819999999998,3.78
40.997899999999994,3.78
21.145319999999998,3.78
38.98316,3.78
19.312019999999997,3.78
38.2007,3.78
31.83896,3.78
35.57738,3.78
14.4963,3.78
32.504239999999996,3.78
29.612539999999996,3.78
9.257219999999998,3.78
5.91948,3.78
25.995079999999998,3.78
26.373079999999998,3.78
7.27272,3.78
6.62256,3.78
10.394460000000036,3.78
20.8127,3.78
1.9731599999999996,3.78
25.97996,3.78
5.632199999999999,3.78
27.93044,3.78
30.94688,3.78
11.426939999999998,3.78
14.27706,3.78
40.2041,3.78
41.95801999999999,3.78
20.62746,3.78
46.16893999999999,3.78
43.36796,3.78
40.711919999999985,3.78
16.45434,3.78
34.98014,3.78
13.109039999999998,3.78
32.3039,3.78
9.9225,3.78
23.526859999999992,3.78
1.3872599999999982,3.78
-1.000000082740371e-09,3.78
-1.000000082740371e-09,3.78
-1.0000005268295808e-09,3.78
-1.0000005268295808e-09,3.78
-9.999999717180685e-10,3.78
-9.999996386511611e-10,3.78
-1.000000304784976e-09,3.78
-1.000000304784976e-09,3.78
-1.0000004158072784e-09,3.78
-1.000000304784976e-09,3.78
14.993100013955015,3.78
-1.0000004158072784e-09,3.78
0.0,3.78
-1.9700010511769506e-09,3.78
-9.850005255884753e-10,3.78
20.26838,3.78
20.4347,3.78
0.15497999999999967,3.78
20.44604,3.78
21.27008,3.78
3.5267399999999998,3.78
5.6889,3.78
28.31222,3.78
23.699560000000066,3.78
6.64146,3.78
5.707800000000001,3.78
25.1623,3.78
29.873359999999998,3.78
12.504240000000001,3.78
12.7953,3.78
31.48142,3.78
39.587959999999995,3.78
37.697959999999995,3.78
17.214119999999998,3.78
17.96634,3.78
34.67773999999999,3.78
28.568079999999995,3.78
11.529,3.78
29.73102000000001,3.78
31.831399999999995,3.78
30.319399999999998,3.78
28.5428,3.78
6.996780000000001,3.78
6.2596799999999995,3.78
24.513439999999978,3.78
8.90568,3.78
32.03552,3.78
31.589480000000002,3.78
12.557159999999998,3.78
33.703920000000004,3.78
18.147779999999994,3.78
39.60308,3.78
19.519919999999995,3.78
20.113379999999996,3.78
37.00622,3.78
36.35606,3.78
15.52446,3.78
14.52276,3.78
34.806259999999995,3.78
26.454140000000006,3.78
32.504239999999996,3.78
12.6441,3.78
29.92628,3.78
28.87166,3.78
28.84142,3.78
31.21904,3.78
16.32582,3.78
42.54392,3.78
28.992599999999996,3.78
35.41428000000001,3.78
31.453379999999996,3.78
46.92872,3.78
18.472859999999997,3.78
34.29974,3.78
31.08674,3.78
8.55036,3.78
8.168579999999999,3.78
27.495739999999998,3.78
27.525979999999997,3.78
4.260059999999999,3.78
22.20752,3.78
1.89756,3.78
25.4621,3.78
6.807780000000001,3.78
10.7541,3.78
32.0393,3.78
27.82838,3.78
